"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Nombre"
2019,4,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Habitatge usat","N/A"
2019,4,3,"Sants-Montjuïc",13,"la Marina de Port","Habitatge usat","68.5"
2019,4,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Habitatge usat","69.3"
2019,4,3,"Sants-Montjuïc",15,"Hostafrancs","Habitatge usat","74.4"
2019,4,3,"Sants-Montjuïc",16,"la Bordeta","Habitatge usat","63.6"
2019,4,3,"Sants-Montjuïc",17,"Sants - Badal","Habitatge usat","64.3"
2019,4,3,"Sants-Montjuïc",18,"Sants","Habitatge usat","68.2"
2019,4,4,"Les Corts",19,"les Corts","Habitatge usat","83.6"
2019,4,4,"Les Corts",20,"la Maternitat i Sant Ramon","Habitatge usat","76.6"
2019,4,4,"Les Corts",21,"Pedralbes","Habitatge usat","115.5"
2019,4,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Habitatge usat","82.0"
2019,4,5,"Sarrià-Sant Gervasi",23,"Sarrià","Habitatge usat","94.4"
2019,4,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Habitatge usat","153.3"
2019,4,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Habitatge usat","116.9"
2019,4,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Habitatge usat","113.4"
2019,4,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Habitatge usat","91.6"
2019,4,6,"Gràcia",28,"Vallcarca i els Penitents","Habitatge usat","80.7"
2019,4,6,"Gràcia",29,"el Coll","Habitatge usat","62.9"
2019,4,6,"Gràcia",30,"la Salut","Habitatge usat","74.4"
2019,4,6,"Gràcia",31,"la Vila de Gràcia","Habitatge usat","90.7"
2019,4,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Habitatge usat","84.2"
2019,4,7,"Horta-Guinardó",33,"el Baix Guinardó","Habitatge usat","65.6"
2019,4,7,"Horta-Guinardó",34,"Can Baró","Habitatge usat","67.3"
2019,4,7,"Horta-Guinardó",35,"el Guinardó","Habitatge usat","66.7"
2019,4,7,"Horta-Guinardó",36,"la Font d'en Fargues","Habitatge usat","108.7"
2019,4,7,"Horta-Guinardó",37,"el Carmel","Habitatge usat","67.3"
2019,4,7,"Horta-Guinardó",38,"la Teixonera","Habitatge usat","65.0"
2019,4,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Habitatge usat","120.8"
2019,4,7,"Horta-Guinardó",40,"Montbau","Habitatge usat","57.0"
2019,4,7,"Horta-Guinardó",41,"la Vall d'Hebron","Habitatge usat","49.0"
2019,4,7,"Horta-Guinardó",42,"la Clota","Habitatge usat","76.0"
2019,4,7,"Horta-Guinardó",43,"Horta","Habitatge usat","80.3"
2019,4,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Habitatge usat","65.3"
2019,4,8,"Nou Barris",45,"Porta","Habitatge usat","65.8"
2019,4,8,"Nou Barris",46,"el Turó de la Peira","Habitatge usat","65.1"
2019,4,8,"Nou Barris",47,"Can Peguera","Habitatge usat","N/A"
2019,4,8,"Nou Barris",48,"la Guineueta","Habitatge usat","69.9"
2019,4,8,"Nou Barris",49,"Canyelles","Habitatge usat","65.1"
2019,4,8,"Nou Barris",50,"les Roquetes","Habitatge usat","58.9"
2019,4,8,"Nou Barris",51,"Verdun","Habitatge usat","55.1"
2019,4,8,"Nou Barris",52,"la Prosperitat","Habitatge usat","59.4"
2019,4,8,"Nou Barris",53,"la Trinitat Nova","Habitatge usat","56.4"
2019,4,8,"Nou Barris",54,"Torre Baró","Habitatge usat","63.0"
2019,4,8,"Nou Barris",55,"Ciutat Meridiana","Habitatge usat","58.1"
2019,4,8,"Nou Barris",56,"Vallbona","Habitatge usat","77.0"
2019,4,9,"Sant Andreu",57,"la Trinitat Vella","Habitatge usat","65.6"
2019,4,9,"Sant Andreu",58,"Baró de Viver","Habitatge usat","90.0"
2019,4,9,"Sant Andreu",59,"el Bon Pastor","Habitatge usat","64.4"
2019,4,9,"Sant Andreu",60,"Sant Areu","Habitatge usat","71.1"
2019,4,9,"Sant Andreu",61,"la Sagrera","Habitatge usat","71.3"
2019,4,9,"Sant Andreu",62,"el Congrés i els Iians","Habitatge usat","72.7"
2019,4,9,"Sant Andreu",63,"Navas","Habitatge usat","81.6"
2019,4,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Habitatge usat","76.4"
2019,4,10,"Sant Martí",65,"el Clot","Habitatge usat","81.0"
2019,4,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Habitatge usat","54.5"
2019,4,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Habitatge usat","110.5"
2019,4,10,"Sant Martí",68,"el Poblenou","Habitatge usat","86.1"
2019,4,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Habitatge usat","82.1"
2019,4,10,"Sant Martí",70,"el Besòs i el Maresme","Habitatge usat","68.5"
2019,4,10,"Sant Martí",71,"Provençals del Poblenou","Habitatge usat","75.5"
2019,4,10,"Sant Martí",72,"Sant Martí de Provençals","Habitatge usat","70.6"
2019,4,10,"Sant Martí",73,"la Verneda i la Pau","Habitatge usat","72.4"
